25,28
25,122
27,122
27,112
27,108
27,118
26,71
26,75
26,67
26,63
26,27
124,149
122,121
112,121
108,121
118,121
143,96
143,148
143,141
143,122
142,122
142,141
142,148
117,121
109,121
120,121
119,121
123,121
113,121
110,121
111,121
114,121
116,121
115,124
115,121
136,137
136,135
136,131
138,135
138,132
134,132
131,116
131,139
131,129
132,139
94,93
106,71
106,103
106,75
106,102
106,67
106,63
98,99
104,107
104,104
101,99
100,99
107,107
107,104
90,148
90,122
89,90
79,71
79,75
79,63
79,67
80,71
80,89
80,75
80,63
80,67
88,71
88,75
88,63
88,67
77,89
77,76
86,88
85,88
85,76
85,90
59,71
59,75
59,63
59,67
54,73
55,74
74,71
74,67
74,75
74,63
50,54
50,55
49,50
60,49
58,117
58,109
47,41
43,41
65,61
65,57
66,58
66,62
53,43
44,41
48,41
46,41
42,109
42,50
42,65
42,43
64,66
52,53
52,50
52,120
72,66
72,120
51,50
51,119
70,119
45,49
45,118
45,46
67,71
67,75
67,148
67,63
67,67
39,40
37,39
35,32
36,35
33,35
38,108
38,35
38,98
29,35
29,32
29,31
29,98
34,101
34,143
34,35
30,100
30,142
30,35
152,151
151,150
153,151
22,23
165,28
166,28
155,155
158,138
156,72
156,64
156,70
187,154
188,148
188,122
159,154
160,71
160,75
160,63
160,67
162,71
162,75
162,63
162,67
163,71
163,75
163,155
163,63
163,67
161,71
161,156
161,67
161,75
161,63
167,154
168,108
168,184
168,157
168,112
184,118
184,122
184,112
174,108
174,137
174,184
174,136
178,136
178,108
178,184
178,122
176,108
176,184
176,136
175,108
175,137
175,184
175,136
177,108
177,184
177,136
177,112
179,108
179,137
179,184
179,136
169,108
169,137
169,184
169,136
170,108
170,137
170,184
170,136
171,108
171,137
171,184
171,136
172,108
172,137
172,184
172,136
173,108
173,137
173,184
173,136
180,108
180,137
180,184
180,136
183,108
183,137
183,184
183,136
181,108
181,137
181,184
181,136
182,108
182,137
182,184
182,136
185,154
186,71
186,63
186,75
186,67
